username,time,tweet
Stargrove,Fri Mar 25 20:36:03 IST 2016,  No need better one
Stargrove,Fri Mar 25 20:32:13 IST 2016,GoHabsgo club1909 points
Stargrove,Fri Mar 25 20:31:48 IST 2016, Keep losing  We want good pick
Stargrove,Thu Mar 24 17:12:28 IST 2016,GoHabsGo club1909 points
Stargrove,Thu Mar 24 17:11:55 IST 2016, 4-2 Wings
Stargrove,Wed Mar 23 21:19:18 IST 2016,RT  Le code Club1909 du jour / Todays Club1909 codeTW-RELEVE 
Stargrove,Wed Mar 23 17:27:31 IST 2016, Where Ducks
Stargrove,Tue Mar 22 17:33:01 IST 2016,GoHabsGo club1909 points
Stargrove,Tue Mar 22 17:32:34 IST 2016, 5-1 Ducks
Stargrove,Tue Mar 22 17:17:19 IST 2016,RT  1 thing Im getting lot  StamkosWould overpay 25 million vs TB DoableLose DD/Emelin/1 C …
Stargrove,Tue Mar 22 17:16:05 IST 2016, How lure guy Stamkos Montreal Quebec Taxes waiting eat paycheck
Stargrove,Tue Mar 22 01:39:04 IST 2016,Brought tear eye 😜10Years 
Stargrove,Mon Mar 21 18:05:21 IST 2016, 2/2fill up quickly youre single
Stargrove,Mon Mar 21 18:04:49 IST 2016, Well before I dishwasher Now I run maybe once two weeks  Dishes dont 1/2
Stargrove,Mon Mar 21 18:01:21 IST 2016, wow Ive gone maybe week give take few days month O
Stargrove,Mon Mar 21 18:00:08 IST 2016,GoHabsGo club1909 points
Stargrove,Mon Mar 21 17:58:29 IST 2016, The usual
Stargrove,Mon Mar 21 17:57:40 IST 2016, OMG  Seriously
Stargrove,Sun Mar 20 16:31:36 IST 2016,GoHabsGo club1909 points
Stargrove,Sun Mar 20 16:29:52 IST 2016, Knew theyd lose one
Stargrove,Sun Mar 20 00:55:52 IST 2016,GohabsGo club1909 points
Stargrove,Fri Mar 18 22:06:50 IST 2016, Happy Birthday
Stargrove,Fri Mar 18 17:52:25 IST 2016, He probably made u-turn highway having called back quickly
Stargrove,Fri Mar 18 00:43:36 IST 2016, Probably keeping injured reserve evaluate farm team players
Stargrove,Thu Mar 17 21:41:21 IST 2016,GoHabsGo club1909 points
Stargrove,Thu Mar 17 21:40:00 IST 2016,RT  Le code Club1909 du jour / Todays Club1909 codeTW-GREEN 
Stargrove,Thu Mar 17 21:39:56 IST 2016,  Looking good 
Stargrove,Thu Mar 17 21:37:12 IST 2016, true theyre focusing lot giving kids farm team ice time evaluate next season Many changes coming
Stargrove,Wed Mar 16 17:39:16 IST 2016, Ah okay  Feel better
Stargrove,Wed Mar 16 17:36:09 IST 2016, I yell loudly 
Stargrove,Wed Mar 16 17:32:30 IST 2016, On Tuesday lol  Thats Rough  How feeling morn
Stargrove,Wed Mar 16 17:21:14 IST 2016, night out
Stargrove,Wed Mar 16 17:20:25 IST 2016, I guessed correct score D
Stargrove,Wed Mar 16 01:56:57 IST 2016,RT  Interesting conversation Marc Crawford confirmed Habs gone far hold mock French pressers …
Stargrove,Tue Mar 15 17:56:27 IST 2016,GoHabsGo club1909 points
Stargrove,Tue Mar 15 17:54:48 IST 2016, 4-1 panthers
Stargrove,Mon Mar 14 18:49:46 IST 2016,GoHabsGo club1909 points
Stargrove,Mon Mar 14 18:17:58 IST 2016,CONTEST  Enter chance win  jersey signed Alex Galchenyuk To participate -­ 
Stargrove,Mon Mar 14 14:20:15 IST 2016,RT  Vladimir Guerrero Polls Twitter On Which Cap He Should Wear To Cooperstown   https…
