username,time,tweet
tweeting_giant,Fri Mar 25 17:24:15 IST 2016, Education literacy important politicians
tweeting_giant,Fri Mar 25 03:54:53 IST 2016,ARREY MODIJI KA NUMBER KAUN SA HAI BHAIYYAMwhahahahaga 
tweeting_giant,Fri Mar 25 03:50:57 IST 2016,  That kick balls honest Sorry analogy expresses feeling
tweeting_giant,Fri Mar 25 03:47:46 IST 2016,    seriously cant possible  Almighty Feku
tweeting_giant,Wed Mar 23 23:25:34 IST 2016,YogendraYadav Kabhi positively socha karo bhaiYeh politics bhi nahin hai 
tweeting_giant,Mon Mar 21 23:44:57 IST 2016,  Jahannum tak peecha nahin chchodunga Yeh sirf MadameTussauds hai ji
tweeting_giant,Mon Mar 21 16:34:36 IST 2016, Thats very fine try control PreMatureEjaculation itll help immensely
tweeting_giant,Mon Mar 21 16:32:13 IST 2016, Loveit Please give work digging pits
tweeting_giant,Mon Mar 21 13:57:34 IST 2016, Which section part constitution written Can someone please help /\
tweeting_giant,Mon Mar 21 12:31:19 IST 2016,India    Now now now This surely well bhaktsBurnol please - ROFL
tweeting_giant,Sat Mar 19 20:16:07 IST 2016,If Chanakya todays India Amit Shah Only ladies winwink wink
tweeting_giant,Sat Mar 19 01:29:06 IST 2016,  This fucking insane hell country heading towards Where incompetent bigot called PM
tweeting_giant,Wed Mar 16 22:46:12 IST 2016,  This fair way batICC impose restrictions 
tweeting_giant,Wed Mar 16 07:14:04 IST 2016,RT  An all-female crew lands plane Saudi Arabia But cant drive airport  
tweeting_giant,Tue Mar 15 23:23:25 IST 2016, Rajender Prasad ki press conference hui hai kya kahin
tweeting_giant,Tue Mar 15 23:20:21 IST 2016,  Money making saheb thats interest
tweeting_giant,Tue Mar 15 23:17:32 IST 2016, Somebody d same fraternity chopped head higher one hanging These crooks societyIgnored
tweeting_giant,Tue Mar 15 22:15:10 IST 2016,Prerna Neah thats happening Pakistan continue consistent below hundred scoring Thats given
tweeting_giant,Sun Mar 13 21:13:35 IST 2016,Shah8    Aasmaan se giraModi bhakti mein atka
tweeting_giant,Sun Mar 13 21:12:01 IST 2016, Bhagte Sanghi kiChaddi bhali
tweeting_giant,Sun Mar 13 21:04:12 IST 2016,  Autonomy becomes anatomy 
tweeting_giant,Sun Mar 13 21:02:36 IST 2016, Full pants hiding intolerance though So dont think anything changed A cover-up
tweeting_giant,Sun Mar 13 17:17:40 IST 2016,  Har daal PE Bhakt baitha haiAnjaamein gulistan kya hoga
tweeting_giant,Fri Mar 11 21:37:20 IST 2016,yadav   Nahin bhai nahin karenge agar woh kuch Kaam kare
tweeting_giant,Fri Mar 11 21:24:43 IST 2016,yadav   Sab hum hi karenge kya aap log sirf danga fasaad karne ke liye ho Feku se bolo woh dilwaayega
tweeting_giant,Fri Mar 11 14:09:10 IST 2016,   Sorry Sir aapne ko chance nahin mila kya 
tweeting_giant,Fri Mar 11 14:08:15 IST 2016,  Congress gifted Modi nation stupidities
tweeting_giant,Fri Mar 11 14:05:25 IST 2016,   Freedom expression perhaps
tweeting_giant,Fri Mar 11 14:03:12 IST 2016, Kitne joote padenge yeh sabko pata hai Yeh bhi nahin keh sakte ki ganje ho jaayenge ROFL
tweeting_giant,Thu Mar 10 19:48:46 IST 2016,   Jab sainyan bhayo kotwaal darr kahe ka
tweeting_giant,Thu Mar 10 19:47:23 IST 2016, knowing one even touch now India
tweeting_giant,Thu Mar 10 19:43:59 IST 2016, It worth checking assets bankers Nothing happens without money India especially level
tweeting_giant,Thu Mar 10 18:28:29 IST 2016,  News How ridiculous FM country Looks theyve clue
tweeting_giant,Thu Mar 10 14:11:03 IST 2016,RT  Ive met Sri Sri found absurd man very limited intellect He autism caused pregnant women watching …
tweeting_giant,Thu Mar 10 14:03:10 IST 2016,  samvad Plight common person India How out rights bastards
tweeting_giant,Thu Mar 10 12:31:28 IST 2016,  Shahash kuch charbi bhi kam hui hogi karte raha karo bus ka peechaProud -
tweeting_giant,Wed Mar 09 16:49:13 IST 2016,RT  Yup Also Dr Evil  Magneto together oppose Sri Sri yes Frikkin loony-tune 
tweeting_giant,Wed Mar 09 16:12:32 IST 2016, Tulsi ki CHAI bahut achchee hoti hai
tweeting_giant,Wed Mar 09 13:50:42 IST 2016,  rana Nope mean Modiji ka approval above ALL
tweeting_giant,Wed Mar 09 13:46:33 IST 2016,RT  Patanjali selling murabba made Oct 16 thanks 2 Modijis MakeInIndiaकुछ भी हो सकता हैRaj…
tweeting_giant,Wed Mar 09 13:38:12 IST 2016,  trees bhagwa color green daysKsorry
tweeting_giant,Tue Mar 08 20:23:36 IST 2016,m  So sad whats point spending thousands crores statues cant provide water people
tweeting_giant,Tue Mar 08 20:13:12 IST 2016, What Rs40 US guruji
tweeting_giant,Tue Mar 08 20:10:45 IST 2016, Womans Day par kahin Ramdev ke ladies shalwar suit episode par meharbaan nahin ho gaye kaka
tweeting_giant,Tue Mar 08 17:10:02 IST 2016,  HahahahaSo reality struck 
tweeting_giant,Tue Mar 08 01:00:31 IST 2016, leena   Lo Bassi bhi nahin hai ab Gaali khaane ke liye kisko baythaaya hai Feku ne 
tweeting_giant,Mon Mar 07 23:29:32 IST 2016,RT  Great speech  - very impactful concerned abt senselessness engulfing nation  https//…
tweeting_giant,Mon Mar 07 20:11:14 IST 2016, Oh Public mein bhi
tweeting_giant,Mon Mar 07 20:10:39 IST 2016, Shhhh personal details shouldnt SMwink wink
