username,time,tweet
SRHazelwood,Sun Sep 01 05:29:49 IST 2013,Fitzhum rolls out sprints end zone 6-yard TD run time expires Harris connects PAT
SRHazelwood,Sun Sep 01 05:28:54 IST 2013,LOL ONE second left half Panthers one play right here try board 
SRHazelwood,Sun Sep 01 05:28:22 IST 2013,SMCC gets 32-yard pass Fitzhum Derek Cook Flyer 5-yard line No idea much time left well under minute
SRHazelwood,Sun Sep 01 05:24:00 IST 2013,Scottie Slauterbeck Bob Harwood 14-yard touchdown pass STP 14 SMCC 0 inside 2 minutes think scoreboard problems 
SRHazelwood,Sun Sep 01 05:21:07 IST 2013,Scottie Slauterbeck Bob Harwood 35-yard gain SMCC 20 Inside three minutes half 
SRHazelwood,Sun Sep 01 05:19:43 IST 2013,This game ground halt St Paul 7 SMCC 0 409 2nd SMCC turned over downs St Paul 33
SRHazelwood,Sun Sep 01 05:07:39 IST 2013,SMCC defense holds strong again 925 left second quarter Panthers take over downs 22 Still trail 7-0
SRHazelwood,Sun Sep 01 04:58:59 IST 2013,End 1st quarter St Paul 7 SMCC 0 
SRHazelwood,Sun Sep 01 04:58:36 IST 2013,SMCC defense held buried shadow goal post forced punt again St Paul 35
SRHazelwood,Sun Sep 01 04:50:52 IST 2013,Now SMCC punt blocked  Flyers going 28-yard field
SRHazelwood,Sun Sep 01 04:48:40 IST 2013,A missed FG botched punt attempt costing SMCC early Not recipe win particular venue Saturdays
SRHazelwood,Sun Sep 01 04:47:22 IST 2013,St Paul 7 St Mary 0 402 1st Devin Smiths 9-yard TD run 
SRHazelwood,Sat Aug 31 07:23:31 IST 2013,Very unofficial wild game I Jay Moore 467 all-purpose yards 16 touches 4 TDs 
SRHazelwood,Sat Aug 31 07:11:29 IST 2013, Fremont Ross 64 Sandusky 30 F 2 hours 40 minutes
SRHazelwood,Sat Aug 31 07:05:58 IST 2013, Folks I repeat Jay Moore Add another 80-something KR TD Its 64-30 310 left Hey Thats 300 4 touches
SRHazelwood,Sat Aug 31 07:01:41 IST 2013, Ross 64 Sandusky 24 325 left I wonder Charles Butch Wagner endure one proud rivalry Hmm
SRHazelwood,Sat Aug 31 06:57:26 IST 2013,Yes Yes god   nba draft
SRHazelwood,Sat Aug 31 06:52:09 IST 2013,Ross 57 Sandusky 24 855 4th Thats 109 points counting two years Little Giants 
SRHazelwood,Sat Aug 31 06:37:34 IST 2013,Go ahead Ask Ross JUST RETURNED THE ENSUING KICKOFF They lead 50-24 152 3rd 
SRHazelwood,Sat Aug 31 06:35:30 IST 2013, This game never end Jay Moore folks Picks up someone elses fimble AGAIN 80 yd KR WHY NOT Trail 43-24 210 3rd
SRHazelwood,Sat Aug 31 06:23:09 IST 2013,Streaks cant much needed stop make ball game Ross scores quickly again lead 36-18 457 3rd 
SRHazelwood,Sat Aug 31 06:17:13 IST 2013,Ben Fuller fumbles end zone Jay Moore picks up 100-yard TD run JUST LIKE THEY DREW IT UP Ross 28-18 646 3rd 
SRHazelwood,Sat Aug 31 05:34:30 IST 2013,So course Ross runs 48-yard TD reverse 37 seconds later Fremont 28 Sandusky 12 30 2nd Nevermind 
SRHazelwood,Sat Aug 31 05:30:43 IST 2013,A reverse Gene Porter turns 65-yard TD run nifty shift direction Try 2 failed Ross up 21-12 107 2nd 
