username,time,tweet
leavewithasong,Thu Oct 03 15:09:37 +0000 2013,Time study yay 
leavewithasong,Thu Oct 03 12:18:51 +0000 2013, basically telling yourself love D
leavewithasong,Wed Oct 02 20:34:16 +0000 2013, go girl
leavewithasong,Wed Oct 02 19:37:26 +0000 2013,Im trying watch X-Factor stream takes forever load
leavewithasong,Wed Oct 02 19:35:57 +0000 2013, people actually retweet believe 11/31 Im gonna burry myself
leavewithasong,Wed Oct 02 19:34:34 +0000 2013,Can STOP fucking SPAM timeline I dont time shit noticed irrelevant person
leavewithasong,Wed Oct 02 18:58:28 +0000 2013, yes
leavewithasong,Wed Oct 02 18:21:55 +0000 2013,Omg tumblr slow
leavewithasong,Wed Oct 02 18:08:52 +0000 2013,I much work over weekend urg
leavewithasong,Wed Oct 02 18:01:28 +0000 2013, love more youre welcome
DwarvenWidow,Wed Oct 02 17:55:40 +0000 2013,Sarah freaking best Helping homework I love much 
leavewithasong,Wed Oct 02 17:53:59 +0000 2013,Doing homework  yep thats friendship works hahaha
JoBros_Germany,Wed Oct 02 17:47:38 +0000 2013,Ab heute gibt es endlich FirstTime auf iTunes zu kaufenFalls ihr es euch noch nicht vorbestellt habt schaut 
leavewithasong,Wed Oct 02 15:21:22 +0000 2013,Its cool I text  day now 
leavewithasong,Wed Oct 02 15:14:54 +0000 2013,Thank god finally German edition  harpersbazaar
leavewithasong,Wed Oct 02 15:11:06 +0000 2013,Hey favorite magazine ❤️ 
leavewithasong,Wed Oct 02 14:48:32 +0000 2013,Just figured out  real Gossip Girl They lied
leavewithasong,Wed Oct 02 14:47:42 +0000 2013,“  xoxoxox” know love xoxo Gossip Girl
leavewithasong,Wed Oct 02 14:35:35 +0000 2013,“ remember I made people think Nick coming study college rip” meany thats much
leavewithasong,Wed Oct 02 14:34:48 +0000 2013, 18 beat ya 😄
leavewithasong,Wed Oct 02 13:21:22 +0000 2013, freu dich auf mehr von solchen Vorlesungen 👍 wie viele seid ihr einer Vorlesung
leavewithasong,Wed Oct 02 11:20:42 +0000 2013, 5c
leavewithasong,Wed Oct 02 07:12:42 +0000 2013,k das gibt sich alles  bist ja auch noch nicht lange da aber freut mich das es dir gefällt 
leavewithasong,Wed Oct 02 06:52:02 +0000 2013,k wie gefällts dir denn Familie ok 
leavewithasong,Tue Oct 01 21:27:24 +0000 2013, Deutsch
leavewithasong,Tue Oct 01 21:14:46 +0000 2013,Im tired Help
leavewithasong,Tue Oct 01 19:09:23 +0000 2013,Finally ❤️ 
leavewithasong,Tue Oct 01 18:05:41 +0000 2013, thank doll
leavewithasong,Tue Oct 01 17:58:31 +0000 2013, new songs bomb though Theyre bad making right decisions
leavewithasong,Tue Oct 01 17:37:19 +0000 2013, send phone number via dm Ill text haha 
leavewithasong,Tue Oct 01 17:37:11 +0000 2013, wanna go back badly Things mom worse urg
leavewithasong,Tue Oct 01 17:02:34 +0000 2013, yeah go settings-gt messages -gt iMessage itll work 
leavewithasong,Tue Oct 01 16:47:23 +0000 2013, yaaay Die iMessage We talk via text messages 
leavewithasong,Tue Oct 01 13:55:52 +0000 2013,Btw I hate one girls take home yay
leavewithasong,Tue Oct 01 13:55:06 +0000 2013,I need see  again asap
leavewithasong,Tue Oct 01 13:54:14 +0000 2013,AND MY PHONE IS ON 15 FUCK THIS
leavewithasong,Tue Oct 01 13:51:45 +0000 2013,usually done 4 well out early today
leavewithasong,Tue Oct 01 13:50:53 +0000 2013,Have wait another 10 minutes I friend Ill take home class isnt over till 4 urg
leavewithasong,Tue Oct 01 12:05:40 +0000 2013, I didnt listen Bangerz idk haha
leavewithasong,Tue Oct 01 12:05:29 +0000 2013, cant Stars Dance pretty much dance/party album Demi more personal still little rock
blahblahblanda,Tue Oct 01 09:14:12 +0000 2013, uhmmI actually one thirdwheeling 😂
leavewithasong,Tue Oct 01 06:47:25 +0000 2013,“ Finally getting new apartment door” Uhhh time
leavewithasong,Tue Oct 01 06:30:25 +0000 2013,One classes canceled today thrilled
leavewithasong,Tue Oct 01 04:33:04 +0000 2013,Why people cruel make come class 8am
leavewithasong,Mon Sep 30 21:14:23 +0000 2013,This falling love cruelest way falling worlds away
leavewithasong,Mon Sep 30 20:58:15 +0000 2013, loved It good meet new people out routine being away home month
leavewithasong,Mon Sep 30 20:36:18 +0000 2013,Its hes going date anyways Welcome reality ❤️
leavewithasong,Mon Sep 30 20:35:22 +0000 2013,Can Nick stans stop being pathetic over relationship Olivia Hes obviously happy
leavewithasong,Mon Sep 30 20:32:53 +0000 2013, god bless Thank very much
