username,time,tweet
bluebay700,Wed Jan 20 14:15:50 IST 2016, sucks nature gets way progress profit bike lanes 
bluebay700,Wed Jan 20 13:49:55 IST 2016,RT  Coconut trees longer considered trees tropical Indian state Goa 
bluebay700,Wed Jan 20 13:49:07 IST 2016,RT  With many sanctions lifted part nuke deal Iran European firms ready seize business opportunities 
bluebay700,Wed Jan 20 13:21:16 IST 2016, ok  cool  
bluebay700,Wed Jan 20 13:20:54 IST 2016, makes sense lol 
bluebay700,Wed Jan 20 13:08:30 IST 2016, another reason US stop training insurgents fix existing conflict Pandoras Box
bluebay700,Wed Jan 20 13:04:22 IST 2016,RT  Iraqs oldest Christian monastery latest victim Islamic States relentless destruction heritage sites 
bluebay700,Wed Jan 20 13:04:03 IST 2016,XskewzMe Hope bitch keeps people moving forward away pointless affairs Lose 😌 wise smart enlightened 👍
bluebay700,Wed Jan 20 12:57:15 IST 2016,RT  ‘Fresh Prince Bel-Air’ star slams Jada Pinkett Smith boycotting Oscars  
bluebay700,Wed Jan 20 12:56:38 IST 2016,RT  Chinese state television airs confession made detention Swedish co-founder human rights group 
bluebay700,Wed Jan 20 12:56:19 IST 2016,RT  Porn industry drama The Deuce starring James Franco lands series order HBO  
bluebay700,Wed Jan 20 12:32:54 IST 2016,Peel reason guy suit reminds 😁 Canada wearing pants public forbidden lol 
bluebay700,Wed Jan 20 12:23:35 IST 2016,RT  NebraskaThunderfuckPhoto  Bookings  
bluebay700,Wed Jan 20 12:23:33 IST 2016,RT  Since theonlyalaska5000 made over  Sundays episode … 
bluebay700,Wed Jan 20 12:23:18 IST 2016,Peel make yourself feel home lol
bluebay700,Wed Jan 20 12:22:29 IST 2016,RT  When people I dont train legs 😩 
bluebay700,Wed Jan 20 12:18:30 IST 2016,Finance Canadian loonie low against USD USA border agents instructed laugh look condescending travelers
bluebay700,Wed Jan 20 12:05:03 IST 2016,XskewzMe one lifes many riddles nature photography sucks 
bluebay700,Wed Jan 20 12:02:24 IST 2016,XskewzMe one lifes many riddles nature photography… 
bluebay700,Wed Jan 20 09:10:28 IST 2016,BLURB bluebay700 Presents Uhmazing f/ AnitaWiglit Drag Extraordinaire Vancouver VNDS2013 Canada  Auckland
bluebay700,Wed Jan 20 08:00:06 IST 2016,SocialMedia  Hi  Photography Press Vancouver Seattle LasVegas Hollywood PuetoVallarta
bluebay700,Wed Jan 20 07:31:41 IST 2016, payback 
bluebay700,Wed Jan 20 06:55:53 IST 2016,RT  StarWars passes 100 million China  
bluebay700,Wed Jan 20 05:59:52 IST 2016,RT  TONIGHTEVERY TUESDAY NIGHT At Mother Lode West HollywoodINVADE…   
bluebay700,Wed Jan 20 05:59:39 IST 2016,RT  TONIGHTAt Mother Lode West Hollywood  INVADE THE HOLE TUESDAYS     
bluebay700,Wed Jan 20 05:56:50 IST 2016,RT  Journalists vital democracy Im saddened hear cuts Postmedia today thoughts th…
bluebay700,Wed Jan 20 05:54:30 IST 2016, abolish Oscars nomination/voting  come up w/ fair process minority stories r stereotypical 
bluebay700,Wed Jan 20 05:44:05 IST 2016,RT  Meet  ’s DragCon  
bluebay700,Wed Jan 20 05:11:28 IST 2016,RT  Netflix’s China Expansion Could Take “Many Years” Hastings Cautions 
bluebay700,Wed Jan 20 03:57:43 IST 2016, look forward BIG reveal finale date 😁 slipIt RPDR8 😃
bluebay700,Wed Jan 20 03:56:38 IST 2016,RT  Don’t L8 ladykins 💋 
bluebay700,Wed Jan 20 03:54:44 IST 2016, stop torturing reversePsychology 😌 
bluebay700,Wed Jan 20 03:53:38 IST 2016,RT  Thank  taking see   last night Im excited the… 
bluebay700,Wed Jan 20 03:53:31 IST 2016,deepThought wouldnt great camera takes picture b4 think Its Oh I want take shutter done
bluebay700,Wed Jan 20 03:38:15 IST 2016, I feel I need tan  
bluebay700,Wed Jan 20 03:37:07 IST 2016,Fitness very busy jogging trail today Had share w/ 2 guys I ran 1 Its life  death situation😒
bluebay700,Wed Jan 20 03:31:05 IST 2016, avoid pickpockets bring cash card ID  stick underwear safe  ull excuse reach down smart 😌
bluebay700,Wed Jan 20 03:30:03 IST 2016,BLURB bluebay700 Presents Uhmazing f/  AtashaManila - Unstoppable  AsianBeauty DragQueen Glam Seattle
bluebay700,Wed Jan 20 03:28:26 IST 2016,RT  More Arrests Pick Pocketing The Abbey | WEHOville   
bluebay700,Wed Jan 20 03:28:16 IST 2016, argue theyre losing money bootleg hmmm work 😯
bluebay700,Wed Jan 20 03:27:20 IST 2016,RT  Ticket prices hit record high 2015  
bluebay700,Wed Jan 20 03:26:53 IST 2016,RT  LA Mayor Oscar diversity I agree criticism  
bluebay700,Wed Jan 20 03:26:36 IST 2016,RT   
bluebay700,Wed Jan 20 03:26:13 IST 2016,RT  Snoop Dogg bashes Oscars’ lack diversity expletive-laden video  
bluebay700,Wed Jan 20 03:26:01 IST 2016, forget lets talk incest action scripting error run  family 😎✌ 
bluebay700,Wed Jan 20 03:24:24 IST 2016, Happy Birthday 😌 U dont know still 🎂 🎶werkin 9 5🎶 😃
bluebay700,Wed Jan 20 02:29:17 IST 2016, 😂😂   👍 good kid  
bluebay700,Wed Jan 20 02:27:55 IST 2016,Fitness theres jogging present 🏃☀☁
bluebay700,Wed Jan 20 02:19:41 IST 2016,guyISSUES Have up one day wonder Gee I wonder feels top black void Join  now And try 👍
bluebay700,Wed Jan 20 02:17:02 IST 2016,guyISSUES Are interested dating waterfall How pyramid Yes Join  Where nature goes score 😌
